ref_id_side,route,count
23697941L,4201,1
23697946L,4201,4
23697946R,4201,1
23698001L,4203,7
23698001R,4203,6
23698027L,5203,3
23698027R,5203,3
23698161L,5203,5
23698161R,5203,3
23698162R,5203,4
23698163L,5203,4
23698188L,5203,4
23698189L,5203,2
23698269L,2203,8
23698269R,2203,8
23698286L,5203,5
23698286R,5203,6
23698288L,5203,5
23698288R,5203,3
23698349L,1203,7
23698349R,1203,7
23698350L,1203,3
23698350R,1203,7
23698351L,1202,7
23698351R,1202,7
23698407L,2202,4
23698407R,4203,6
23698408R,2202,3
23698409L,2202,4
23698409R,4203,4
23698413L,4203,8
23698413R,4203,4
23698414L,4203,4
23698414R,4203,6
23698415L,4203,5
23698415R,4203,2
23698416L,4203,3
23698416R,4203,13
23698417L,4203,2
23698417R,4203,7
23698418L,4203,2
23698418R,4203,4
23698419L,4203,2
23698419R,4203,8
23698467L,3202,3
23698467R,3202,3
23698515L,1202,3
23698515R,1202,1
23698516L,1202,10
23698516R,1202,12
23698517L,1202,1
23698762L,1201,13
23698762R,1201,12
23698763L,1201,9
23698763R,1201,8
23698788R,1201,1
23698836L,2203,11
23698836R,2203,13
23699011L,2201,3
23699011R,2201,6
23699012L,2201,3
23699012R,2201,5
23699016L,2201,8
23699016R,2201,11
23699063L,4201,3
23699063R,4201,2
23699245L,3203,5
23699245R,3203,9
23699257L,2201,9
23699257R,2201,6
23699270L,1202,7
23699270R,1202,7
23699396R,2201,2
23699402L,2203,2
23699402R,2203,5
23699403L,2203,4
23699403R,2203,1
23699404L,2203,1
23699404R,2203,2
23699405L,2203,1
23699405R,2203,3
23699628L,4203,11
23699628R,4203,10
23699629L,4203,4
23699629R,4203,4
23699632R,2202,1
23699633L,2202,8
23699633R,2202,1
23699634L,2202,5
23699634R,2202,6
23699635L,2202,3
23699636R,1203,4
23699639L,1203,1
23699792L,5202,6
23699792R,5202,6
23699793L,5202,2
23699793R,5202,5
23699828L,1201,2
23699829L,1201,1
23699830L,1201,1
23699830R,1201,1
23699831L,1201,5
23699831R,1201,3
23699832L,1201,1
23699858L,3202,1
23699858R,3202,2
23699859L,3202,4
23699859R,3202,7
23699862L,3202,3
23699862R,3202,2
23699863R,3202,1
23699865L,3202,6
23699865R,3202,6
23699910R,1202,1
23699980L,3202,15
23699980R,3202,13
23700007L,5201,3
23700007R,5201,5
23700008L,5201,1
23700008R,5201,4
23700012L,5203,3
23700012R,5203,3
23700013R,5203,1
23700041L,3201,8
23700041R,3201,6
23700063L,1202,3
23700063R,1202,2
23700079L,4202,3
23700079R,4202,3
23700162L,3201,7
23700162R,3201,7
23700170L,2201,3
23700170R,2201,4
23700171L,2201,5
23700171R,2201,6
23700367L,4202,12
23700367R,4202,11
23700518L,4203,14
23700518R,4203,13
23700682L,4203,14
23700682R,4203,12
23700683L,4203,9
23700683R,4203,8
23700706R,1202,4
23700708L,1202,3
23700708R,1202,1
23700756L,4203,7
23700756R,4203,5
23700841L,3202,4
23700841R,3202,9
23700926L,3201,3
23700926R,3201,1
23700932L,3201,9
23700932R,3201,9
23701041L,4202,9
23701041R,4202,6
23701042R,4202,1
23701043L,4202,5
23701043R,4202,4
23701045L,4202,1
23701045R,4202,1
23701050R,3202,4
23701051L,3202,3
23701051R,3202,4
23701166L,1202,17
23701166R,1202,19
23701167L,1202,2
23701167R,1202,1
23701182L,1201,4
23701182R,1201,8
23701185R,1202,1
23701245L,5201,3
23701245R,5201,3
23701246L,5201,3
23701246R,5201,2
23701247R,5201,3
23701253L,5201,4
23701253R,5201,1
23701266L,4202,4
23701266R,4202,2
23701267L,4202,6
23701267R,4202,2
23701358L,1201,10
23701358R,1201,8
23701359L,1201,9
23701359R,1201,5
23701367R,5203,2
23701368L,5201,9
23701368R,5201,7
23701412L,4203,4
23701412R,4203,5
23701413L,2202,4
23701413R,2202,4
23701414L,2202,5
23701414R,2202,7
23701415R,2202,1
23701538L,3203,4
23701538R,3201,3
23701539L,3203,4
23701539R,3201,3
23701541L,3203,5
23701541R,3201,3
23701542L,3203,6
23701542R,3201,3
23701543L,3203,3
23701543R,3201,3
23701544L,3203,5
23701544R,3201,3
23701545L,3203,5
23701545R,3201,3
23701546L,3203,4
23701546R,3201,3
23701567R,3203,3
23701568L,3203,1
23701568R,3203,3
23701569L,3203,8
23701569R,3203,9
23701848L,2201,8
23701848R,2201,8
23701857R,2201,1
23701858R,2201,1
23701859L,2203,1
23701859R,2203,4
23701860L,2203,2
23701860R,2203,5
23701861L,2203,11
23701861R,2203,10
23701862L,2203,2
23701862R,2203,4
23701863L,2203,2
23701863R,2203,2
23701864L,2203,12
23701864R,2203,15
23701865R,2203,4
23701866R,2203,3
23701999L,4203,1
23701999R,4203,1
23702029L,5201,2
23702029R,5201,2
23702030R,5201,1
23702031L,5201,1
23702031R,5201,1
23702032L,5201,1
23702032R,5201,1
23702033L,5201,6
23702033R,5201,5
23702037L,5201,3
23702037R,5201,3
23702038L,2202,4
23702046L,2202,7
23702046R,2202,5
23702047L,2202,8
23702047R,2202,7
23702231L,1201,10
23702231R,1201,8
23702279L,1201,5
23702279R,1201,2
23702281L,2201,3
23702281R,2201,6
23702361L,4203,2
23702361R,4203,2
23702467L,2203,2
23702467R,2203,1
23702468L,2203,4
23702469L,2203,3
23702470L,2203,3
23702497L,1202,22
23702497R,1202,24
23702539R,4201,3
23702540L,4201,3
23702540R,4201,3
23702542L,4201,10
23702542R,4201,9
23702678L,2203,3
23702678R,2203,4
23702680R,2203,2
23702694L,5202,7
23702694R,5202,5
23702769L,3201,1
23702809R,5203,3
23702810R,5203,3
23702887R,5202,9
23702948L,2202,7
23702948R,2202,8
23702949L,2202,18
23702949R,2202,18
23703061R,3201,4
23703062R,3201,3
23703063R,3203,3
23703064L,3203,3
23703064R,3203,6
23703065R,3201,3
23703066L,3201,4
23703066R,3201,4
23703107L,3202,6
23703107R,3202,8
23703111L,3202,6
23703111R,3202,8
23703220L,2201,4
23703221L,2201,4
23703222L,2201,4
23703223L,2202,2
23703223R,2202,2
23703226L,2202,1
23703226R,2202,5
23703491L,3203,4
23703491R,3203,4
23703717R,1201,4
23703718L,1203,9
23703718R,1203,11
23703738L,2202,4
23703739L,2202,5
23703883L,5201,4
23703883R,5201,4
23703905L,1202,7
23703905R,1202,6
23703906L,1202,9
23703906R,1202,9
23704021R,4203,9
23704022R,4203,10
23704023L,2202,2
23704023R,2202,1
23704026L,2202,1
23704027R,2202,2
23704028L,2202,1
23704028R,2202,1
23704049L,4201,5
23704049R,4201,5
23704254L,3202,4
23704254R,3202,4
23704255R,3202,1
23704256L,3202,1
23704454L,5203,6
23704454R,5203,6
23704505L,4202,3
23704505R,4202,5
23704548R,4201,1
23704564R,3203,4
23704587L,1202,6
23704588L,1202,3
23704589L,1202,2
23704631L,2201,2
23704631R,2201,4
23704632L,2201,4
23704632R,2201,1
23704688L,3203,2
23704688R,3203,1
23704689L,3203,3
23704689R,3203,3
23704805L,1202,15
23704805R,1202,15
23704903L,1202,9
23704903R,1202,9
23704904L,1202,9
23704904R,1202,8
23704919L,1202,5
23704919R,1202,2
23704920L,1202,1
23704920R,1202,1
23704921L,2202,5
23704921R,2202,4
23704923L,5201,10
23704923R,5201,10
23704924L,5203,8
23704924R,5203,7
23704950L,4202,1
23704950R,4202,1
23705066L,5203,2
23705066R,5203,3
23705338L,4201,16
23705338R,4201,13
23705339L,4201,2
23705339R,4201,3
23705537R,5203,3
23705538L,5203,1
23705539L,5203,3
23705692L,2202,1
23705692R,2202,2
23705693L,2202,2
23705693R,2202,5
23705797L,3202,5
23705797R,3202,6
23705798L,3202,6
23705798R,3202,5
23705820L,1203,2
23705820R,1203,3
23705821L,1203,2
23705821R,1203,3
23705822L,1203,3
23705822R,1203,5
23705823L,1203,4
23705823R,1203,4
23705826L,1201,1
23705826R,1201,1
23705827R,1201,1
23705877L,3203,8
23705877R,3203,6
23705915L,1201,3
23705915R,1201,3
23705994L,2201,11
23705994R,2201,10
23706000R,3202,3
23706058L,1201,3
23706058R,1201,2
23706061L,2203,2
23706061R,2203,3
23706087L,2201,8
23706087R,2201,8
23706110L,5201,4
23706110R,5203,2
23706111R,5201,3
23706113R,5203,1
23706117R,5203,4
23706118L,5203,5
23706118R,5203,5
23706183L,3203,8
23706183R,3203,7
23706184R,3203,3
23706208L,3201,2
23706208R,3201,1
23706314L,2203,11
23706314R,2203,12
23706418L,1202,9
23706418R,1202,12
23706419L,1202,3
23706419R,1202,6
23706420L,1202,4
23706420R,1202,4
23706421L,1202,6
23706421R,1202,2
23706620L,5201,6
23706620R,5201,6
23706623L,4203,5
23706623R,4203,6
23706801R,3201,3
23706888R,5203,1
23706890L,5202,7
23706890R,5202,6
23707005R,4202,1
23707114L,2203,3
23707115L,2203,2
23707115R,2203,6
23707116R,2203,4
23707350L,3202,1
23707350R,3202,2
23707365L,4203,3
23707365R,4203,2
23707422L,1202,8
23707422R,1202,7
23707423R,1202,4
23707424R,1202,4
23707425L,1202,1
23707425R,1202,2
23707428L,1202,3
23707428R,1202,3
23707444L,2201,2
23707444R,2201,2
23707449L,2201,6
23707449R,2201,5
23707450L,2201,4
23707450R,2201,2
23707453L,2201,4
23707453R,2201,2
23707454L,2201,3
23707454R,2201,1
23707455L,2201,4
23707455R,2201,2
23707456L,2201,2
23707456R,2201,2
23707477L,1203,8
23707477R,1203,5
23707479L,1203,6
23707479R,1203,2
23707483L,3202,3
23707483R,3202,4
23707563R,5201,1
23707805L,1202,2
23707805R,1202,3
23707911L,4203,2
23707911R,4203,5
23707912L,4203,3
23707912R,4203,5
23707913L,4203,2
23707913R,4203,4
23707914R,4203,5
23708028L,2201,6
23708028R,2201,5
23708064L,1202,13
23708130L,4203,8
23708130R,4203,10
23708131L,4203,2
23708131R,4203,3
23708133R,4203,2
23708134L,4203,12
23708134R,4203,11
23708135L,1203,1
23708135R,1203,3
23708136L,1203,1
23708136R,1203,5
23708137L,1203,2
23708137R,1203,3
23708138L,1203,3
23708138R,1203,2
23708139L,1203,3
23708139R,1203,5
23708140L,4203,2
23708140R,4203,1
23708141L,4203,3
23708141R,4203,2
23708145L,2202,4
23708145R,2202,4
23708146L,2202,3
23708146R,2202,3
23708338L,3202,2
23708339L,3202,1
23708422L,1201,7
23708422R,1201,1
23708519R,1203,4
23708520R,1203,2
23708614R,4202,8
23708615R,4202,4
23708728L,2201,10
23708728R,2201,7
23708731L,2201,2
23708732L,2201,3
23708732R,2201,1
23708762R,3203,8
23708764L,3201,10
23708764R,3201,9
23708866L,5202,1
23708866R,5202,3
23708875L,5202,7
23708875R,5202,7
23708913L,3203,8
23708913R,3203,11
23708914L,3203,10
23708914R,3203,10
23708978L,1202,1
23708978R,1202,4
23708979L,1202,2
23708979R,1202,1
23708980L,1202,1
23708980R,1202,1
23708981L,1202,4
23708998L,1203,5
23708998R,1203,6
23708999L,1203,7
23708999R,1203,8
23709000L,1203,8
23709000R,1203,9
23709004R,1202,5
23709005R,1202,2
23709006L,1202,2
23709006R,1202,4
23709162L,4202,2
23709162R,4202,4
23709163L,4202,2
23709163R,4202,1
23709165L,4202,3
23709165R,4202,2
23709283L,3202,5
23709283R,3202,5
23709490L,2202,9
23709490R,2202,8
23709491L,2202,19
23709491R,2202,18
23709499R,3202,3
23709500L,3202,5
23709500R,3202,3
23709608L,2203,13
23709608R,2203,13
23709656L,2202,3
23709662L,2202,3
23709662R,2202,5
23709663L,2202,6
23709663R,2202,4
23709664L,2202,9
23709664R,2202,10
23709778L,3202,2
23709841L,4203,4
23709841R,4203,4
23709944L,4201,2
23710028L,3201,11
23710028R,3201,12
23710029L,3201,4
23710030L,3201,4
23710035L,1201,1
23710035R,1201,49
23710036L,1201,2
23710036R,1201,1
23710060L,5201,4
23710060R,5201,2
23710196L,3203,10
23710196R,3203,12
23710218L,1203,6
23710218R,1203,7
23710221L,1203,4
23710221R,1203,8
23710223L,1203,9
23710223R,1203,7
23710225L,1203,8
23710225R,1203,10
23710227L,1203,4
23710227R,1203,4
23710338L,1203,2
23710338R,1203,2
23710341L,1203,2
23710341R,1203,3
23710342L,1203,5
23710342R,1203,2
23710344L,1202,3
23710344R,1202,9
23710418L,3202,4
23710421R,3202,3
23710422R,3202,1
23710516L,5201,7
23710516R,5201,6
23710540L,4203,2
23710540R,4203,2
23710555L,4203,7
23710555R,4203,4
23710556L,4203,2
23710556R,4203,2
23710557L,4203,2
23710557R,4203,3
23710558L,4203,3
23710558R,4203,2
23710559L,4203,1
23710559R,4203,3
23710560L,4203,8
23710560R,4203,8
23710619L,2203,2
23710619R,2203,3
23710632L,3201,10
23710632R,3201,10
23710653L,2203,7
23710653R,2203,8
23710773L,5201,4
23710773R,5201,4
23710780L,1201,3
23710780R,1201,5
23710818L,1203,7
23710818R,1203,9
23710819L,1203,7
23710819R,1203,7
23710820L,1203,8
23710820R,1203,7
23710821L,1203,8
23710821R,1203,6
23710822L,1203,8
23710822R,1203,9
23710823L,1203,5
23710823R,1203,2
23710868L,2202,2
23710870L,2202,1
23710870R,2202,7
23710871L,2202,1
23710871R,2202,8
23710874L,2202,3
23710874R,2202,4
23710875L,4202,12
23710875R,4202,12
23710933L,1202,3
23710933R,1202,4
23710934L,1202,2
23710934R,1202,2
23710935L,1202,4
23710935R,1202,6
23711037L,2203,20
23711090L,2203,5
23711090R,2203,1
23711120R,3201,2
23711122L,2203,6
23711122R,2203,6
23711207L,3201,10
23711207R,3201,16
23711351L,1202,2
23711351R,1202,3
23711509L,3202,3
23711509R,3202,2
23711615L,5202,6
23711616L,5202,3
23711792L,5201,3
23711792R,5201,4
23711924L,3203,1
23711925R,3203,1
23711931R,3202,4
23711932L,3202,2
23711932R,3202,13
23711933R,3202,3
23711992L,1202,2
23711995L,3202,3
23711995R,3202,3
23712246R,3202,1
23712332L,1202,2
23712332R,1202,2
23712363L,2203,1
23712363R,2203,1
23712366L,2203,1
23712440L,4202,3
23712440R,4202,4
23712606L,3202,5
23712606R,3202,10
23712776L,4202,13
23712776R,4202,9
23712777L,4202,6
23712777R,4202,6
23712822L,4202,11
23712822R,4202,6
23712826L,3201,13
23712826R,3201,12
23712941L,4202,1
23712946L,4202,4
23712946R,4202,3
23712948L,4202,3
23712948R,4202,1
23712950L,4202,4
23712950R,4202,5
23712951L,3201,1
23712951R,3201,12
23712952L,3201,8
23712952R,3201,8
23712953R,3203,1
23712954L,3203,22
23712954R,3203,13
23712959R,4202,5
23712960R,4202,5
23712988L,4202,7
23712988R,4202,8
23712989R,4202,4
23712990R,4202,5
23713017L,3201,8
23713017R,3201,9
23713018L,4202,1
23713018R,4202,3
23713038L,3201,1
23713039L,3201,7
23713039R,3201,7
23713040L,3203,2
23713040R,3203,1
23713041L,3203,3
23713041R,3203,7
23713042L,3201,5
23713042R,3201,5
23713064L,4202,8
23713064R,4202,8
23713165L,4201,4
23713165R,4201,6
23713310R,4201,4
23713311L,4201,1
23713311R,4201,7
23713776L,5202,24
23713776R,5202,21
23713807L,5203,8
23713807R,5203,8
23713808L,5203,9
23713808R,5203,13
23713849L,4203,2
23713849R,4203,6
