Id2,Population,MedHHInc,studio,bed1,bed2,bed3,bed4,bed5,med_age,Vacant,HH1,HH2,HH3,HH4,HH5,HH6,HH7,AvgHHSize,AvOwnHHsize,AvRenHHsize,TotalHH,OwnerHH,RenterHH,R100,R150,R199,R249,R299,R349,R399,R449,R499,R549,R599,R649,R699,R749,R799,R899,R999,R1249,R1499,R1999,R2499,R2999,R3499,R3500plus,White,AfAm,NatAm,Asian,Hawaiin,Other,Inter,Total_Bachelors,STEM,STEM_rel,Business,Education,Humanities,Total_HH,FamHH,NonFM,NoFamAloneHH,DetachUnit,AttachUnit,TwoUnits,Units_3_4,Units_5_9,Units_10_19,Units_20_49,Units_50plus,UnitMobile,Unit_Other,HouseYear
60855072032,1471,132692.0,37,38,94,143,217,29,46.8,8,137,149,115,107,33,9,0,2.67,3.09,1.89,1471,1110,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,87,25,27,0,15,1227,0,0,150,0,21,73,623,282,10,105,28,198,550,377,173,137,408,46,9,30,30,0,11,0,24,0,1965
60855072051,816,173214.0,0,0,58,91,91,16,37.8,26,3,72,61,52,24,13,5,3.55,3.77,2.71,816,683,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,9,694,0,0,88,0,5,29,367,197,18,53,14,85,230,209,21,3,181,9,11,46,9,0,0,0,0,0,1966
60855072052,1527,143125.0,0,9,86,445,166,33,55.3,45,223,274,88,82,27,0,0,2.2,2.08,3.78,1527,1338,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,18,19,1324,0,0,184,0,9,10,833,418,54,193,22,146,694,420,274,223,224,515,0,0,0,0,0,0,0,0,1974
60855072053,1482,132656.0,9,31,177,154,173,61,46.6,28,149,207,67,103,43,8,0,2.57,2.7,1.83,1482,1319,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,37,0,11,11,0,1050,0,18,376,0,8,30,777,384,44,181,49,119,577,382,195,149,333,140,8,0,30,57,18,19,0,0,1968
60855072061,1562,198750.0,5,20,64,84,266,179,49.1,45,100,230,106,71,45,15,6,2.73,2.82,1.93,1562,1450,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,23,0,0,0,1224,0,0,275,0,22,41,797,385,12,203,37,160,573,463,110,100,610,4,0,0,4,0,0,0,0,0,1972
60855072062,1280,204500.0,0,37,47,111,210,107,51.3,30,83,203,72,77,43,4,0,2.66,2.68,2.38,1280,1199,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,8,0,1039,0,0,231,0,0,10,733,332,37,183,30,151,482,393,89,83,512,0,0,0,0,0,0,0,0,0,1958
60855073012,1235,172426.0,0,0,0,127,170,146,47.7,18,54,143,75,111,42,0,0,2.91,2.89,3.03,1235,1126,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,14,667,0,0,449,0,20,99,728,487,0,119,14,108,425,371,54,54,443,0,0,0,0,0,0,0,0,0,1964
60855073013,1051,226951.0,0,0,17,33,168,137,43.4,13,40,50,119,133,0,0,0,3.07,3.1,2.81,1051,950,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,14,481,0,18,504,0,0,48,514,309,33,119,12,41,342,288,54,40,355,0,0,0,0,0,0,0,0,0,1970
60855073014,1088,156250.0,0,14,38,66,180,0,45.3,0,28,62,35,107,41,25,0,3.65,3.67,3.2,1088,1040,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,518,0,0,570,0,0,0,554,353,32,55,37,77,298,236,62,28,298,0,0,0,0,0,0,0,0,0,1957
60855073015,1177,238854.0,0,15,0,120,241,116,58.9,39,28,274,73,78,0,0,0,2.54,2.55,2.18,1149,1125,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,708,0,31,380,0,47,11,822,439,90,126,55,112,453,400,53,28,438,0,0,0,0,0,0,0,54,0,1969
60855073016,1434,46969.0,77,232,117,93,91,66,61.5,33,317,151,37,108,30,0,0,2.12,3.51,1.33,1362,817,545,0,0,0,156,0,0,0,64,0,0,49,0,0,0,0,0,0,10,14,15,19,15,11,27,1001,0,0,366,0,11,56,634,357,47,94,9,127,643,326,317,317,299,19,0,0,0,0,205,116,37,0,1982
60855073021,1921,158774.0,9,76,77,206,177,133,47.9,17,156,213,108,83,47,52,2,2.79,2.84,2.68,1847,1327,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,28,32,18,42,16,28,1196,0,15,670,0,12,28,1028,565,59,158,65,181,661,505,156,156,513,26,30,55,35,0,9,10,0,0,1969
60855073022,1179,192333.0,0,0,37,92,178,92,49.6,29,20,107,136,75,22,10,0,3.19,3.16,3.34,1179,1002,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,18,881,0,0,216,0,0,82,654,418,14,116,0,106,370,350,20,20,352,29,18,0,0,0,0,0,0,0,1958
60855074011,1262,197917.0,0,0,28,200,203,0,43.5,0,30,142,139,94,19,0,7,2.93,2.73,3.64,1262,916,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,19,27,423,0,0,794,0,0,45,754,485,25,118,10,116,431,401,30,30,277,146,0,8,0,0,0,0,0,0,1971
60855074012,1216,155114.0,0,0,38,87,186,97,45.7,21,26,137,115,46,23,26,14,3.14,3.15,3.0,1216,1141,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,305,31,0,863,0,0,17,672,453,42,93,25,59,387,361,26,26,383,25,0,0,0,0,0,0,0,0,1973
60855074013,1441,260000.0,0,0,9,70,297,89,46.6,21,32,137,113,99,35,9,19,3.23,3.12,4.58,1434,1283,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,17,502,1,16,805,0,3,114,770,507,21,77,63,102,444,395,49,32,465,0,0,0,0,0,0,0,0,0,1968
60855074014,1021,165000.0,0,0,16,157,150,42,50.6,23,18,157,71,62,15,19,0,2.99,2.86,3.88,1021,862,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,11,0,16,583,0,0,402,0,0,36,554,325,47,69,31,82,342,324,18,18,344,5,0,0,0,0,8,0,8,0,1960
60855074021,1684,123056.0,0,35,39,285,204,23,43.4,16,75,219,75,132,46,23,0,2.92,2.98,2.72,1662,1268,394,0,0,0,0,8,0,0,0,0,0,0,0,0,26,0,0,0,0,0,23,13,11,64,0,964,35,0,596,0,89,0,694,419,35,91,12,137,570,472,98,75,482,61,0,26,8,0,0,9,0,0,1958
60855074022,1220,215313.0,0,0,0,78,243,93,39.3,24,55,138,34,103,53,7,0,3.1,2.95,3.79,1208,954,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,9,22,17,1018,12,0,120,0,0,70,626,246,65,168,44,103,390,313,77,55,391,23,0,0,0,0,0,0,0,0,1959
60855074023,1207,84306.0,0,42,128,192,57,99,47.9,25,144,148,80,94,27,0,0,2.45,2.52,2.05,1207,1055,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,0,37,0,0,659,0,0,479,10,0,59,491,254,66,61,38,72,493,322,171,144,376,116,0,9,8,0,0,9,0,0,1970
60855075001,1946,155375.0,0,10,87,203,329,100,46.5,8,111,256,182,105,67,0,0,2.7,2.76,2.31,1946,1715,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,40,791,16,0,1125,0,0,14,1102,690,59,180,25,148,721,610,111,111,666,29,0,8,0,0,26,0,0,0,1963
60855075003,1306,151491.0,0,0,0,83,294,37,40.9,0,29,204,71,42,20,0,48,3.15,2.54,7.83,1306,930,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,358,0,0,936,0,0,12,886,501,30,163,83,109,414,370,44,29,398,16,0,0,0,0,0,0,0,0,1966
60855075004,1167,150766.0,0,0,0,144,174,127,55.3,0,51,215,79,80,13,7,0,2.62,2.5,3.88,1167,1008,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,10,0,449,0,0,709,0,0,9,706,427,26,102,70,81,445,394,51,51,445,0,0,0,0,0,0,0,0,0,1964
60855076002,1146,260000.0,0,0,0,66,191,153,50.0,0,65,131,78,98,38,0,0,2.8,2.8,2.65,1146,1085,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,0,0,0,556,32,0,484,0,0,74,658,462,48,41,43,64,410,345,65,65,410,0,0,0,0,0,0,0,0,0,1972
60855076003,1799,224219.0,0,0,0,83,407,146,46.7,55,42,162,192,142,38,5,0,3.1,3.11,3.03,1799,1590,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34,793,10,0,926,0,19,51,1109,813,37,112,68,79,581,508,73,42,636,0,0,0,0,0,0,0,0,0,1968
60855076004,2039,196328.0,0,6,175,341,199,83,48.7,59,109,271,206,132,15,5,7,2.74,2.75,2.67,2039,1644,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,29,46,0,0,34,1116,71,5,817,0,0,30,1130,796,124,116,10,84,745,625,120,109,478,190,37,15,29,0,0,55,0,0,1972
