ref_id_side,route,count
23698286L,504X,5
23698286R,504X,6
23698288L,504X,5
23698288R,504X,4
23698349L,103X,10
23698349R,103X,7
23698350L,103X,4
23698350R,103X,11
23698351L,103X,10
23698351R,103X,7
23698407L,203X,4
23698407R,404X,7
23698408R,203X,3
23698409L,203X,4
23698409R,404X,4
23698413L,405X,7
23698413R,405X,5
23698414L,405X,4
23698414R,405X,6
23698415L,405X,5
23698415R,405X,2
23698416L,405X,3
23698416R,405X,15
23698417L,405X,2
23698417R,405X,7
23698418L,405X,2
23698418R,405X,5
23698419L,405X,1
23698419R,405X,9
23698467L,304X,3
23698467R,304X,3
23698515L,105X,3
23698515R,105X,1
23698516L,105X,10
23698516R,105X,12
23698517L,105X,1
23698517R,105X,3
23698762L,103X,13
23698762R,103X,12
23698763L,103X,9
23698763R,103X,8
23698788R,102X,1
23698836L,204X,12
23698836R,204X,13
23699011L,205X,3
23699011R,205X,6
23699012L,204X,3
23699012R,204X,5
23699016L,204X,8
23699016R,204X,11
23699063L,404X,3
23699063R,404X,2
23699245L,304X,5
23699245R,304X,9
23699257L,202X,9
23699257R,202X,6
23699270L,105X,7
23699270R,105X,6
23699396R,202X,2
23699402L,202X,2
23699402R,202X,5
23699403L,202X,4
23699403R,202X,1
23699404L,202X,1
23699404R,202X,2
23699405L,202X,1
23699405R,202X,3
23699628L,405X,11
23699628R,405X,10
23699629L,404X,4
23699629R,404X,4
23699632R,203X,7
23699633L,203X,9
23699633R,203X,2
23699634L,203X,5
23699634R,203X,8
23699635L,203X,3
23699636R,104X,4
23699639L,104X,1
23699792L,503X,6
23699792R,503X,6
23699793L,503X,2
23699793R,503X,5
23699828L,102X,2
23699829L,102X,1
23699830L,102X,2
23699830R,102X,1
23699831L,102X,5
23699831R,102X,4
23699832L,102X,2
23699858L,304X,1
23699858R,304X,2
23699859L,304X,4
23699859R,304X,7
23699862L,304X,3
23699862R,304X,2
23699863R,304X,1
23699865L,304X,6
23699865R,304X,6
23699910R,105X,1
23699980L,304X,15
23699980R,304X,13
23700007L,504X,3
23700007R,504X,5
23700008L,504X,1
23700008R,502X,4
23700012L,502X,3
23700012R,502X,3
23700013R,502X,1
23700041L,302X,8
23700041R,302X,6
23700063L,105X,3
23700063R,105X,2
23700079L,403X,3
23700079R,403X,3
23700162L,302X,7
23700162R,302X,7
23700170L,205X,3
23700170R,205X,4
23700171L,205X,5
23700171R,205X,6
23700367L,403X,12
23700367R,403X,11
23700518L,405X,15
23700518R,405X,13
23700548L,205X,2
23700569L,505X,1
23700635L,205X,2
23700643L,105X,1
23700644L,105X,1
23700645L,105X,1
23700682L,405X,14
23700682R,405X,12
23700683L,405X,10
23700683R,405X,8
23700706R,105X,4
23700708L,105X,3
23700756L,405X,7
23700756R,405X,5
23700841L,304X,4
23700841R,304X,9
23700926L,305X,3
23700926R,305X,1
23700932L,302X,9
23700932R,302X,9
23701041L,403X,9
23701041R,403X,6
23701042R,403X,1
23701043L,403X,5
23701043R,403X,4
23701045L,403X,1
23701045R,403X,1
23701050R,304X,4
23701051L,304X,3
23701051R,304X,4
23701166L,105X,17
23701166R,105X,19
23701167L,105X,2
23701167R,105X,1
23701182L,103X,5
23701182R,103X,11
23701245L,504X,3
23701245R,504X,3
23701246L,504X,3
23701246R,504X,2
23701247R,504X,3
23701253L,504X,4
23701253R,504X,1
23701266L,403X,4
23701266R,403X,1
