ref_id_side,route,count
23704919R,1F3A,2
23704920L,1F1A,1
23704920R,1F3A,1
23704921L,2F2A,5
23704921R,2F2A,4
23704923L,5F3B,11
23704923R,5F3B,10
23704924L,5F3B,8
23704924R,5F3B,7
23704950L,4F3A,1
23704950R,4F3A,1
23705066L,5F3B,2
23705066R,5F3B,3
23705338L,4F1A,17
23705338R,4F1A,13
23705339L,4F1A,2
23705339R,4F1A,3
23705537R,5F3B,3
23705538L,5F3B,1
23705539L,5F3B,3
23705692L,2F1A,1
23705692R,2F1A,2
23705693L,2F1A,2
23705693R,2F1A,5
23705797L,3F1B,5
23705797R,3F1B,6
23705798L,3F1B,6
23705798R,3F1B,5
23705820L,1F1B,2
23705820R,1F1B,4
23705821L,1F1B,2
23705821R,1F1B,3
23705822L,1F1B,3
23705822R,1F1B,5
23705823L,1F1B,4
23705823R,1F1B,3
23705826R,1F3B,1
23705877L,3F3B,8
23705877R,3F3B,6
23705915L,1F3B,3
23705915R,1F3B,3
23705994L,2F3B,11
23705994R,2F3B,9
23706000R,3F3B,3
23706058L,1F3B,3
23706058R,1F3B,2
23706061L,2F1B,2
23706061R,2F1B,3
23706087L,2F3A,8
23706087R,2F3A,8
23706110L,5F3B,4
23706110R,5F3B,2
23706111R,5F3B,3
23706113R,5F3B,1
23706117R,5F1B,4
23706118L,5F1B,5
23706118R,5F1B,5
23706183L,3F3B,8
23706183R,3F3B,7
23706184R,3F3B,3
23706208L,3F3A,2
23706208R,3F3A,1
23706314L,2F1B,11
23706314R,2F1B,13
23706418L,1F3A,9
23706418R,1F3A,11
23706419L,1F1A,3
23706419R,1F3A,6
23706420L,1F3A,4
23706420R,1F1A,4
23706421L,1F3A,6
23706421R,1F1A,2
23706620L,5F3B,6
23706620R,5F3B,6
23706623L,4F2B,5
23706623R,4F2B,7
23706801R,3F3A,4
23706888R,5F1B,1
23706890L,5F2A,7
23706890R,5F2A,7
23707005R,4F3A,1
23707114L,2F1B,3
23707115L,2F1B,2
23707115R,2F1B,6
23707116R,2F1B,4
23707350L,3F1B,1
23707350R,3F1B,2
23707365L,4F1B,3
23707365R,4F1B,2
23707422L,1F1A,8
23707422R,1F1A,8
23707423R,1F1A,4
23707424R,1F1A,4
23707425L,1F1A,1
23707425R,1F1A,2
23707428L,1F1A,3
23707428R,1F1A,3
23707444L,2F3B,2
23707444R,2F3B,2
23707449L,2F3B,6
23707449R,2F3B,5
23707450L,2F3B,4
23707450R,2F3B,2
23707453L,2F3B,4
23707453R,2F3B,2
23707454L,2F3B,3
23707454R,2F3B,1
23707455L,2F3B,4
23707455R,2F3B,2
23707456L,2F3B,2
23707456R,2F3B,2
23707477L,1F1B,8
23707477R,1F1B,7
23707479L,1F1B,7
23707479R,1F1B,4
23707483L,3F1B,3
23707483R,3F1B,4
23707563R,5F3A,1
23707805L,1F1A,2
23707805R,1F1A,3
23707911L,4F1B,2
23707911R,4F1B,5
23707912L,4F1B,3
23707912R,4F1B,5
23707913L,4F1B,2
23707913R,4F1B,4
23707914R,4F1B,5
23708028L,2F3B,6
23708028R,2F3B,5
23708064L,1F3A,12
23708130L,4F2B,8
23708130R,4F2B,11
23708131L,4F2B,2
23708131R,4F2B,3
23708133R,4F1B,2
23708134L,4F1B,14
23708134R,4F1B,13
23708135L,1F1B,1
23708135R,1F1B,3
23708136L,1F1B,1
23708136R,1F1B,5
23708137L,1F1B,2
23708137R,1F1B,3
23708138L,1F1B,3
23708138R,1F1B,2
23708139L,1F1B,4
23708139R,1F1B,5
23708140L,4F2B,2
23708140R,4F2B,1
23708141L,4F2B,3
23708141R,4F2B,2
23708145L,2F1A,5
23708145R,2F1A,4
23708146L,2F1A,4
23708146R,2F1A,3
23708338L,3F1B,2
23708339L,3F1B,1
23708422L,1F2B,6
23708422R,1F2B,1
23708519R,1F3A,5
23708520R,1F3A,2
23708614R,4F3A,7
23708615R,4F3A,4
23708728L,2F3A,10
23708728R,2F3A,7
23708731L,2F3A,2
23708732L,2F3A,3
23708732R,2F3A,1
23708762R,3F1A,4
23708764L,3F1A,10
23708764R,3F1A,10
23708866L,5F2A,1
23708866R,5F2A,3
23708875L,5F2A,7
23708875R,5F2A,7
23708913L,3F1A,8
23708913R,3F1A,11
23708914L,3F1A,11
23708914R,3F1A,10
23708978L,1F1A,1
23708978R,1F1A,4
23708979L,1F1A,2
23708979R,1F1A,1
23708980L,1F1A,1
23708980R,1F1A,1
23708981L,1F1A,4
23708998L,1F1B,5
23708998R,1F1B,6
23708999L,1F1B,8
23708999R,1F1B,9
23709000L,1F1B,10
23709000R,1F1B,10
23709002L,1F3A,1
23709004R,1F3A,5
23709005R,1F3A,2
23709006L,1F3A,2
23709006R,1F3A,4
23709162L,4F3A,2
23709162R,4F3A,2
23709163L,4F3A,2
23709163R,4F3A,1
23709165L,4F3A,3
23709165R,4F3A,2
23709283L,3F1B,5
23709283R,3F1B,5
23709490L,2F2A,10
23709490R,2F2A,8
23709491L,2F2A,19
23709491R,2F2A,18
23709499R,3F1B,3
23709500L,3F1B,5
23709500R,3F1B,3
23709608L,2F3B,13
23709608R,2F3B,13
23709656L,2F1A,3
23709662L,2F1A,4
23709662R,2F1A,6
23709663L,2F1A,8
23709663R,2F1A,4
23709664L,2F1A,10
23709664R,2F1A,10
23709778L,3F3B,2
23709841L,4F1B,4
23709841R,4F1B,4
23709944L,4F3B,2
23710028L,3F3A,11
23710028R,3F3A,13
23710029L,3F3A,4
23710030L,3F3A,4
23710035L,1F2B,1
23710035R,1F2B,50
23710036L,1F2B,2
23710036R,1F2B,1
23710060L,5F3A,4
23710060R,5F3A,2
23710196L,3F3B,10
23710196R,3F3B,12
23710218L,1F3B,7
23710218R,1F3B,7
23710221L,1F1B,6
23710221R,1F1B,8
23710223L,1F1B,8
23710223R,1F1B,7
23710225L,1F1B,8
23710225R,1F1B,10
23710227L,1F1B,4
23710227R,1F1B,5
23710338L,1F3A,2
23710338R,1F3A,2
23710341L,1F3A,1
23710341R,1F3A,3
23710342L,1F3A,5
23710342R,1F3A,5
23710344L,1F3A,3
23710344R,1F3A,10
23710418L,3F1B,4
23710421R,3F1B,3
23710422R,3F1B,1
23710516L,5F3A,7
23710516R,5F3A,5
23710540L,4F1B,2
23710540R,4F1B,2
23710555L,4F1B,7
23710555R,4F1B,6
23710556L,4F1B,2
23710556R,4F1B,3
23710557L,4F2B,2
23710557R,4F2B,3
23710558L,4F1B,3
23710558R,4F1B,3
23710559L,4F1B,1
23710559R,4F1B,3
23710560L,4F2B,8
23710560R,4F2B,8
23710619L,2F1B,2
23710619R,2F1B,3
23710632L,3F1A,10
23710632R,3F1A,10
23710653L,2F1B,7
23710653R,2F1B,8
23710773L,5F3A,4
23710773R,5F3A,4
23710780L,1F3B,3
23710780R,1F3B,5
23710818L,1F3B,8
23710818R,1F3B,10
23710819L,1F3B,7
23710819R,1F3B,6
23710820L,1F1B,8
23710820R,1F1B,8
23710821L,1F1B,8
23710821R,1F1B,7
23710822L,1F1B,9
23710822R,1F1B,9
23710823L,1F1B,5
23710823R,1F1B,1
23710868L,2F2A,2
23710870L,2F2A,1
23710870R,2F2A,7
23710871L,2F2A,1
23710871R,2F2A,9
23710874L,2F2A,3
23710874R,2F2A,4
23710875L,4F3A,13
23710875R,4F3A,13
23710933L,1F1A,3
23710933R,1F1A,4
23710934L,1F1A,3
23710934R,1F1A,2
23710935L,1F1A,4
23710935R,1F1A,6
23711037L,2F1B,21
23711090L,2F1B,5
23711090R,2F1B,1
23711120R,3F3A,1
23711122L,2F1B,6
23711122R,2F1B,6
23711207L,3F3A,10
23711207R,3F3A,16
23711351L,1F1A,2
23711351R,1F1A,3
23711509L,3F1B,3
23711509R,3F1B,2
23711615L,5F2A,7
23711616L,5F2A,4
23711792L,5F3A,3
23711792R,5F3A,4
23711924L,3F3B,2
23711925L,3F3B,1
23711925R,3F3B,1
23711931R,3F3B,9
23711932L,3F3B,3
23711932R,3F3B,13
23711933R,3F3B,3
23711992L,1F3A,2
23711995L,3F1B,3
23711995R,3F1B,3
23712332L,1F3A,2
23712332R,1F3A,2
23712363L,2F1B,1
23712363R,2F1B,1
23712440L,4F3A,3
23712440R,4F3A,4
23712606L,3F1B,6
23712606R,3F1B,10
23712776L,4F3B,13
23712776R,4F3B,9
23712777L,4F3B,6
23712777R,4F3B,6
23712822L,4F3B,12
23712822R,4F3B,7
23712826L,3F3A,14
23712826R,3F3A,12
23712941L,4F3B,1
23712946L,4F3B,4
